Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
251,8.3667,3170.7450,129.4539,-148.0783,1.9366,-6.6467,6.9231,4.0604,10.3639
252,8.4000,3077.2452,129.4539,-156.6921,3.2188,22.2151,22.4470,1.0675,2.7247
253,8.4333,2983.0984,129.4539,-119.3903,4.6671,-1.3434,4.8567,10.1454,25.8955
254,8.4667,2902.6900,129.4539,-109.0340,5.6060,-24.8258,25.4509,19.8449,50.6529
255,8.5000,2850.9361,129.4539,-98.0838,5.8638,-55.1187,55.4298,20.8172,53.1345
256,8.5333,2828.7469,129.4539,-86.4323,6.8687,-47.1880,47.6853,27.7248,70.7658
257,8.5667,2843.2489,129.4539,-74.0683,7.7437,-41.6038,42.3184,25.0264,63.8785
258,8.6000,2851.3981,129.4539,-60.9806,7.5886,-34.2403,35.0711,23.9532,61.1391
259,8.6333,2823.0892,129.4539,-47.1579,6.9780,-10.4453,12.5617,20.0390,51.1483
260,8.6667,2785.1590,129.4539,-32.5889,6.2009,-8.5612,10.5709,13.2157,33.7322
261,8.7000,2699.7908,129.4539,-17.7053,5.6147,-22.2974,22.9934,21.5376,54.9733
262,8.7333,2597.0143,129.4539,8.6284,5.1607,-51.4346,51.6928,12.2912,31.3726
263,8.7667,2517.4694,129.4539,23.6475,5.3146,-53.9168,54.1781,26.3947,67.3708
264,8.8000,2503.7834,129.4539,23.2208,5.1081,-54.2201,54.4602,22.2029,56.6716
265,8.8333,2509.5229,256.9361,10.6483,4.6210,-42.5627,42.8128,14.1540,142.3167
266,8.8667,2563.7395,346.0940,-9.8829,4.1424,-30.6764,30.9548,7.1972,131.3035
267,8.9000,2571.5924,129.4539,-33.2849,4.1787,-17.2039,17.7041,3.3546,8.5623
268,8.9333,2546.6806,129.4539,-53.5587,3.4376,-18.0772,18.4012,1.4793,3.7758
269,8.9667,2506.7341,129.4539,-63.7899,1.8006,-26.6996,26.7602,7.2357,18.4687
