Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
243,8.1000,3264.4600,1565.8322,178.9302,-11.2197,-26.2922,28.5860,15.0868,5633.9288
244,8.1333,3284.9584,1902.6192,63.7501,-12.6630,-12.4885,17.7852,4.1559,2291.3413
245,8.1667,3370.4579,2122.8900,-85.6312,-14.0350,13.2642,19.3111,4.1464,2846.1304
246,8.2000,3478.5276,1820.5022,-204.9859,-12.5299,11.1054,16.7430,8.2322,4155.4877
247,8.2333,3522.1702,1052.0722,-259.7943,-10.3677,8.9767,13.7138,3.2577,549.1894
248,8.2667,3547.4531,252.9407,-247.3037,-9.6093,3.1439,10.1105,10.4171,101.5100
249,8.3000,3540.6561,61.9653,-140.1401,-9.4993,0.6731,9.5231,2.1990,1.2860
250,8.3333,3474.0519,61.9653,23.2405,-9.0627,-3.4128,9.6840,4.7878,2.8000
251,8.3667,3471.7573,61.9653,150.0040,-10.0033,15.3650,18.3344,5.9788,3.4965
252,8.4000,3506.8728,449.1075,190.7141,-11.9076,1.8286,12.0472,4.4686,137.2762
253,8.4333,3525.4206,1012.9214,170.2926,-14.4644,-22.7371,26.9480,18.3331,2864.9250
254,8.4667,3568.1095,1350.1501,115.9350,-17.8274,-28.4310,33.5580,9.2175,2559.1743
255,8.5000,3616.3891,1406.3679,38.9281,-18.4013,-23.5812,29.9112,9.7848,2947.6292
256,8.5333,3651.1901,1354.2597,-33.1861,-17.7564,-24.5043,30.2614,9.9979,2792.7764
257,8.5667,3708.6281,1179.6480,-59.6971,-18.1957,-19.9779,27.0222,5.2454,1111.7534
258,8.6000,3756.5445,1028.0421,-46.9946,-20.5231,-5.3559,21.2104,4.9656,799.3162
259,8.6333,3777.1751,1016.0164,-19.6000,-21.3073,-5.4032,21.9817,5.1156,804.3043
260,8.6667,3787.7662,1037.9501,-3.1407,-21.4143,-10.9595,24.0558,5.4040,886.7361
261,8.7000,3831.9648,1028.2828,-18.8011,-20.7703,-26.0740,33.3356,7.8240,1260.0215
262,8.7333,3880.3472,1021.4271,-56.1175,-19.8855,-36.8626,41.8842,15.6645,2489.1839
263,8.7667,3921.0395,929.7640,-83.3576,-19.3060,-40.0154,44.4292,14.2615,1877.7414
264,8.8000,3945.5274,626.1180,-96.8184,-19.7997,-36.2655,41.3184,13.4201,801.2952
265,8.8333,3946.3356,338.0314,-95.6742,-20.9565,-24.0041,31.8649,23.3727,406.7686
