Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
229,7.6333,3719.2813,481.5867,75.8106,2.3755,-17.4019,17.5633,8.6647,306.0759
230,7.6667,3730.7896,620.2242,72.2139,2.3372,-10.6529,10.9063,8.0174,469.7354
231,7.7000,3756.9985,765.6619,57.4593,2.4982,-4.0162,4.7297,3.9327,351.1435
232,7.7333,3782.5387,891.2643,28.8160,2.7698,1.3697,3.0900,2.5085,303.4962
233,7.7667,3819.7239,947.2760,-16.8004,2.8660,0.0817,2.8671,2.1304,291.1629
234,7.8000,3853.6769,854.7657,-64.2592,2.9876,-3.6330,4.7037,1.9357,215.4009
235,7.8333,3876.7566,656.1315,-95.5879,3.3945,-2.2832,4.0910,2.9274,191.9481
236,7.8667,3895.3449,418.0465,-101.7088,3.6263,-4.4897,5.7712,3.7520,99.8696
237,7.9000,3906.9946,209.3939,-86.3195,3.4800,-6.4892,7.3635,5.3663,35.8364
238,7.9333,3905.8846,91.7754,-56.8016,2.7024,-17.1304,17.3422,6.4638,8.2921
239,7.9667,3906.9293,61.2745,-18.7397,1.9236,-26.6128,26.6823,21.4492,12.2658
240,8.0000,3907.9110,61.2745,22.8266,0.9836,-34.5434,34.5574,21.5841,12.3429
241,8.0333,3911.4123,75.6117,60.5289,2.7369,-30.9012,31.0221,19.2912,16.7981
242,8.0667,3912.5731,226.1191,85.4324,4.3370,-25.6917,26.0552,10.2257,79.6331
243,8.1000,3914.5758,435.5472,90.2733,4.9848,-20.5461,21.1422,6.1657,178.1470
244,8.1333,3940.2966,662.8591,67.5605,2.7071,-22.5286,22.6906,5.6505,378.1439
245,8.1667,3963.2219,775.9384,20.0804,1.3431,-27.9292,27.9615,8.4348,773.4914
246,8.2000,3994.7060,754.0675,-33.4971,0.5715,-31.9878,31.9929,9.5023,822.9498
247,8.2333,4025.9239,591.8848,-71.8095,1.0555,-29.0241,29.0432,8.2435,439.8562
248,8.2667,4038.8871,381.8183,-79.8638,1.2688,-26.4543,26.4847,5.7469,127.6057
249,8.3000,4038.0991,241.1492,-60.3469,1.4076,-25.6182,25.6568,7.3251,64.8802
250,8.3333,4048.1547,157.4245,-27.3317,1.6610,-27.6736,27.7234,7.2407,27.3306
251,8.3667,4049.2488,171.2322,9.1921,2.0122,-29.6054,29.6737,7.6496,34.1615
